checkpoint,episode,update,keep,reason
ppo_fish_tracking_update_000001_episode_000001.zip,1,1,False,episode<batch_size_outlier
ppo_fish_tracking_update_000001_episode_000020.zip,20,1,True,ok
ppo_fish_tracking_update_000002_episode_000040.zip,40,2,True,ok
ppo_fish_tracking_update_000003_episode_000060.zip,60,3,True,ok
ppo_fish_tracking_update_000004_episode_000080.zip,80,4,True,ok
ppo_fish_tracking_update_000005_episode_000100.zip,100,5,True,ok
ppo_fish_tracking_update_000006_episode_000120.zip,120,6,True,ok
ppo_fish_tracking_update_000007_episode_000140.zip,140,7,True,ok
ppo_fish_tracking_update_000008_episode_000160.zip,160,8,True,ok
ppo_fish_tracking_update_000009_episode_000180.zip,180,9,True,ok
ppo_fish_tracking_update_000010_episode_000200.zip,200,10,True,ok
ppo_fish_tracking_update_000011_episode_000220.zip,220,11,True,ok
ppo_fish_tracking_update_000012_episode_000240.zip,240,12,True,ok
ppo_fish_tracking_update_000013_episode_000260.zip,260,13,True,ok
ppo_fish_tracking_update_000014_episode_000280.zip,280,14,True,ok
ppo_fish_tracking_update_000015_episode_000300.zip,300,15,True,ok
ppo_fish_tracking_update_000016_episode_000320.zip,320,16,True,ok
ppo_fish_tracking_update_000017_episode_000340.zip,340,17,True,ok
ppo_fish_tracking_update_000018_episode_000360.zip,360,18,True,ok
ppo_fish_tracking_update_000019_episode_000380.zip,380,19,True,ok
ppo_fish_tracking_update_000020_episode_000400.zip,400,20,True,ok
ppo_fish_tracking_update_000021_episode_000420.zip,420,21,True,ok
ppo_fish_tracking_update_000022_episode_000440.zip,440,22,True,ok
ppo_fish_tracking_update_000023_episode_000460.zip,460,23,True,ok
ppo_fish_tracking_update_000024_episode_000480.zip,480,24,True,ok
ppo_fish_tracking_update_000025_episode_000500.zip,500,25,True,ok
ppo_fish_tracking_update_000026_episode_000520.zip,520,26,True,ok
ppo_fish_tracking_update_000027_episode_000540.zip,540,27,True,ok
ppo_fish_tracking_update_000028_episode_000560.zip,560,28,True,ok
ppo_fish_tracking_update_000029_episode_000580.zip,580,29,True,ok
ppo_fish_tracking_update_000030_episode_000600.zip,600,30,True,ok
ppo_fish_tracking_update_000031_episode_000620.zip,620,31,True,ok
ppo_fish_tracking_update_000032_episode_000640.zip,640,32,True,ok
ppo_fish_tracking_update_000033_episode_000660.zip,660,33,True,ok
