checkpoint,update,episode,batch_success_count,batch_episodes,batch_success_rate,cumulative_success_rate
origin,0,0,0,0,0.000000,0.000000
ppo_fish_tracking_update_000001_episode_000020.zip,1,20,8,20,0.400000,0.400000
ppo_fish_tracking_update_000002_episode_000040.zip,2,40,5,20,0.250000,0.325000
ppo_fish_tracking_update_000003_episode_000060.zip,3,60,3,20,0.150000,0.266667
ppo_fish_tracking_update_000004_episode_000080.zip,4,80,5,20,0.250000,0.262500
ppo_fish_tracking_update_000005_episode_000100.zip,5,100,1,20,0.050000,0.220000
ppo_fish_tracking_update_000006_episode_000120.zip,6,120,1,20,0.050000,0.191667
ppo_fish_tracking_update_000007_episode_000140.zip,7,140,3,20,0.150000,0.185714
ppo_fish_tracking_update_000008_episode_000160.zip,8,160,3,20,0.150000,0.181250
ppo_fish_tracking_update_000009_episode_000180.zip,9,180,2,20,0.100000,0.172222
ppo_fish_tracking_update_000010_episode_000200.zip,10,200,3,20,0.150000,0.170000
ppo_fish_tracking_update_000011_episode_000220.zip,11,220,4,20,0.200000,0.172727
ppo_fish_tracking_update_000012_episode_000240.zip,12,240,2,20,0.100000,0.166667
ppo_fish_tracking_update_000013_episode_000260.zip,13,260,1,20,0.050000,0.157692
ppo_fish_tracking_update_000014_episode_000280.zip,14,280,4,20,0.200000,0.160714
ppo_fish_tracking_update_000015_episode_000300.zip,15,300,2,20,0.100000,0.156667
ppo_fish_tracking_update_000016_episode_000320.zip,16,320,3,20,0.150000,0.156250
ppo_fish_tracking_update_000017_episode_000340.zip,17,340,1,20,0.050000,0.150000
ppo_fish_tracking_update_000018_episode_000360.zip,18,360,3,20,0.150000,0.150000
ppo_fish_tracking_update_000019_episode_000380.zip,19,380,4,20,0.200000,0.152632
ppo_fish_tracking_update_000020_episode_000400.zip,20,400,3,20,0.150000,0.152500
ppo_fish_tracking_update_000021_episode_000420.zip,21,420,3,20,0.150000,0.152381
ppo_fish_tracking_update_000022_episode_000440.zip,22,440,3,20,0.150000,0.152273
ppo_fish_tracking_update_000023_episode_000460.zip,23,460,1,20,0.050000,0.147826
ppo_fish_tracking_update_000024_episode_000480.zip,24,480,2,20,0.100000,0.145833
ppo_fish_tracking_update_000025_episode_000500.zip,25,500,6,20,0.300000,0.152000
ppo_fish_tracking_update_000026_episode_000520.zip,26,520,3,20,0.150000,0.151923
ppo_fish_tracking_update_000027_episode_000540.zip,27,540,1,20,0.050000,0.148148
ppo_fish_tracking_update_000028_episode_000560.zip,28,560,7,20,0.350000,0.155357
ppo_fish_tracking_update_000029_episode_000580.zip,29,580,2,20,0.100000,0.153448
ppo_fish_tracking_update_000030_episode_000600.zip,30,600,3,20,0.150000,0.153333
ppo_fish_tracking_update_000031_episode_000620.zip,31,620,3,20,0.150000,0.153226
ppo_fish_tracking_update_000032_episode_000640.zip,32,640,5,20,0.250000,0.156250
ppo_fish_tracking_update_000033_episode_000660.zip,33,660,1,20,0.050000,0.153030
