num_timesteps,episode_reward,episode_length,episode_time_sec,termination_reason,episode_return,goal_progress_ratio,distance_to_goal_region,visual_obstacle_detected,visual_obstacle_pixel_fraction,visual_obstacle_center_fraction,visual_obstacle_nearest_depth,success,collision,wall_collision,out_of_bounds,timeout
1215,-4557.48974609375,1215,18.372334,persistent_contact_failure,-4557.487899848092,0.820172958989426,0.779026740921862,False,0.0,0.0,2.5,False,False,True,False,False
2067,-3943.943603515625,852,30.325804,persistent_contact_failure,-3943.942292229621,0.6261151622918484,1.6717054677839702,False,0.0,0.0,2.5,False,False,True,False,False
3347,-4078.757080078125,1280,47.094573,persistent_contact_failure,-4078.7549786060254,0.8152611657952328,0.8402214765436181,False,0.0,0.0,2.5,False,False,True,False,False
4691,-6010.68115234375,1344,64.748341,persistent_contact_failure,-6010.682748907209,0.491155175860564,2.2319067522584732,False,0.0,0.0,2.5,False,True,False,False,False
5912,-4684.8056640625,1221,80.757469,persistent_contact_failure,-4684.8048090944985,0.4819239060341255,2.3110315833898394,False,0.0,0.0,2.5,False,True,False,False,False
7155,-4135.3671875,1243,96.712271,persistent_contact_failure,-4135.364638824496,0.8001169708302694,0.871618009434591,False,0.0,0.0,2.5,False,False,True,False,False
8073,-3452.891357421875,918,108.589281,persistent_contact_failure,-3452.8907053812322,0.4607168914355916,2.3384978213381844,False,0.0,0.0,2.5,False,True,False,False,False
10066,-6325.84326171875,1993,134.525724,persistent_contact_failure,-6325.850350152568,0.4568475211224676,2.4408869317252075,False,0.0,0.0,2.5,False,True,False,False,False
14315,-15054.8779296875,4249,190.549676,persistent_contact_failure,-15054.86158659222,0.6805849137457556,1.4493497556940969,False,0.0,0.0,2.5,False,False,True,False,False
17597,-12784.3759765625,3282,234.070378,persistent_contact_failure,-12784.383404033026,0.500637898494072,2.111797972522689,False,0.0,0.0,2.5,False,False,True,False,False
18614,-5719.26513671875,1017,247.47489,persistent_contact_failure,-5719.264750681355,0.5044453835766177,2.1685937310858003,False,0.0,0.0,2.5,False,False,True,False,False
19351,-2583.70166015625,737,256.921363,persistent_contact_failure,-2583.701906941506,0.4970191595027551,2.254691717029143,False,0.0,0.0,2.5,False,True,False,False,False
20232,-4858.09423828125,881,268.557884,persistent_contact_failure,-4858.096437811669,0.5321266703144784,2.0703396900423057,False,0.0,0.0,2.5,False,False,True,False,False
21121,-4278.3876953125,889,280.080323,persistent_contact_failure,-4278.387789207605,0.6392502244985314,1.6219088484208617,False,0.0,0.0,2.5,False,False,True,False,False
22080,-3712.97216796875,959,292.829011,persistent_contact_failure,-3712.972108317594,0.6829346222326813,1.3861113356095613,False,0.0,0.0,2.5,False,False,True,False,False
23128,-5826.47119140625,1048,306.737239,persistent_contact_failure,-5826.46884373597,0.5459730894608905,1.9484702995022656,False,0.0,0.0,2.5,False,False,True,False,False
24350,-3609.781982421875,1222,322.923855,persistent_contact_failure,-3609.7828721455285,0.8209150236220928,0.7830796291022798,False,0.0,0.0,2.5,False,False,True,False,False
25912,-6319.04248046875,1562,343.681028,persistent_contact_failure,-6319.04185387104,0.9487871254727142,0.22240363145497521,False,0.0,0.0,2.5,False,False,True,False,False
26836,-4558.96728515625,924,355.851974,persistent_contact_failure,-4558.965438567266,0.6411114923616763,1.5924147207009738,False,0.0,0.0,2.5,False,False,True,False,False
27916,-3786.40673828125,1080,370.084566,persistent_contact_failure,-3786.408270999127,0.7246381443612108,1.217298648801692,False,0.0,0.0,2.5,False,False,True,False,False
