update_index,weight_name,weight_exists,run_id,episode_start,episode_end,count,success_count,success_rate,avg_reward
1,ppo_fish_baseline_update_000001_policy.pth,True,lora_cycle_train20_update20_save20_20260414_restart1,1,20,20,6,0.3,-2877.6143432617187
2,ppo_fish_baseline_update_000002_policy.pth,True,lora_cycle_train20_update20_save20_20260414_restart1,21,40,20,3,0.15,-4376.243669128418
3,ppo_fish_baseline_update_000003_policy.pth,True,lora_cycle_train20_update20_save20_20260414_restart1,41,60,20,5,0.25,-4818.55200805664
4,ppo_fish_baseline_update_000004_policy.pth,True,lora_cycle_train20_update20_save20_20260414_restart1,61,80,20,4,0.2,-3934.5715911865236
5,ppo_fish_baseline_update_000005_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,83,102,20,4,0.2,-4894.29522895813
6,ppo_fish_baseline_update_000006_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,103,122,20,1,0.05,-5198.692553710937
7,ppo_fish_baseline_update_000007_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,123,142,20,5,0.25,-3616.1460205078124
8,ppo_fish_baseline_update_000008_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,143,162,20,5,0.25,-4411.421905517578
9,ppo_fish_baseline_update_000009_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,163,182,20,5,0.25,-3543.652099609375
10,ppo_fish_baseline_update_000010_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,183,202,20,8,0.4,-2752.445199584961
11,ppo_fish_baseline_update_000011_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,203,222,20,4,0.2,-5361.9259033203125
12,ppo_fish_baseline_update_000012_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,223,242,20,8,0.4,-2771.0919677734373
13,ppo_fish_baseline_update_000013_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,243,262,20,7,0.35,-2967.201614379883
14,ppo_fish_baseline_update_000014_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,263,282,20,7,0.35,-3729.585760498047
15,ppo_fish_baseline_update_000015_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,283,302,20,9,0.45,-3280.0796875
16,ppo_fish_baseline_update_000016_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,303,322,20,7,0.35,-2381.7103759765623
17,ppo_fish_baseline_update_000017_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,323,342,20,10,0.5,-3010.331732368469
18,ppo_fish_baseline_update_000018_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,343,362,20,6,0.3,-3521.7929504394533
19,ppo_fish_baseline_update_000019_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,363,382,20,11,0.55,-3007.635716629028
20,ppo_fish_baseline_update_000020_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,383,402,20,8,0.4,-2443.3637306213377
21,ppo_fish_baseline_update_000021_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,403,422,20,9,0.45,-1180.4792724609374
22,ppo_fish_baseline_update_000022_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,423,442,20,10,0.5,-1910.216145324707
23,ppo_fish_baseline_update_000023_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,443,462,20,12,0.6,-1088.8595443725585
24,ppo_fish_baseline_update_000024_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,463,482,20,9,0.45,-2605.475659942627
25,ppo_fish_baseline_update_000025_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,483,502,20,12,0.6,-1809.6702758789063
26,ppo_fish_baseline_update_000026_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,503,522,20,12,0.6,-1235.6081512451171
27,ppo_fish_baseline_update_000027_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,523,542,20,9,0.45,-1923.6393310546875
28,ppo_fish_baseline_update_000028_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,543,562,20,10,0.5,-2120.496800994873
29,ppo_fish_baseline_update_000029_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,563,582,20,14,0.7,-1309.7911094665528
30,ppo_fish_baseline_update_000030_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,583,602,20,11,0.55,-1352.3114135742187
31,ppo_fish_baseline_update_000031_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,603,622,20,10,0.5,-2467.232177734375
32,ppo_fish_baseline_update_000032_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,623,642,20,10,0.5,-2632.0044952392577
33,ppo_fish_baseline_update_000033_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,643,662,20,14,0.7,214.06779022216796
34,ppo_fish_baseline_update_000034_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,663,682,20,12,0.6,-671.627838897705
35,ppo_fish_baseline_update_000035_policy.pth,True,lora_cycle_train20_update20_save20_20260414_resume1,683,702,20,12,0.6,-714.9850700378418
36,ppo_fish_baseline_update_000036_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,785,804,20,14,0.7,-168.58582611083983
37,ppo_fish_baseline_update_000037_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,805,824,20,10,0.5,-2969.7104217529295
38,ppo_fish_baseline_update_000038_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,825,844,20,13,0.65,-448.3965606689453
39,ppo_fish_baseline_update_000039_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,845,864,20,11,0.55,-1266.8029344558715
40,ppo_fish_baseline_update_000040_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,865,884,20,13,0.65,-805.9685516357422
41,ppo_fish_baseline_update_000041_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,885,904,20,13,0.65,-899.3903869628906
42,ppo_fish_baseline_update_000042_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,905,924,20,15,0.75,-492.71237030029295
43,ppo_fish_baseline_update_000043_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,925,944,20,11,0.55,-541.8216371536255
44,ppo_fish_baseline_update_000044_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,945,964,20,13,0.65,-380.3322105407715
45,ppo_fish_baseline_update_000045_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,965,984,20,13,0.65,-856.6817447662354
46,ppo_fish_baseline_update_000046_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,985,1004,20,13,0.65,-1373.2931045532227
47,ppo_fish_baseline_update_000047_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,1005,1024,20,11,0.55,-1128.0570159912108
48,ppo_fish_baseline_update_000048_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,1025,1044,20,14,0.7,-157.43143310546876
49,ppo_fish_baseline_update_000049_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,1045,1064,20,10,0.5,-2282.298080444336
50,ppo_fish_baseline_update_000050_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,1065,1084,20,15,0.75,-70.54396362304688
51,ppo_fish_baseline_update_000051_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,1085,1104,20,15,0.75,990.4067031860352
52,ppo_fish_baseline_update_000052_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,1105,1124,20,14,0.7,259.1653198242187
53,ppo_fish_baseline_update_000053_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,1125,1144,20,13,0.65,-878.2304992675781
54,ppo_fish_baseline_update_000054_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,1145,1164,20,11,0.55,-1407.1099365234375
55,ppo_fish_baseline_update_000055_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,1165,1184,20,11,0.55,-1604.6064783096313
56,ppo_fish_baseline_update_000056_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,1185,1204,20,10,0.5,-1085.4269989013671
57,ppo_fish_baseline_update_000057_policy.pth,True,lora_cycle_train20_update20_save20_20260415_resume2,1205,1224,20,14,0.7,-772.1872863769531
