update_index,weight_name,episode_start,episode_end,episode_count,success_count,success_rate,avg_reward,phase
26,ppo_fish_rand20_from_u025_update_000026_policy.pth,1,20,20,11,0.55,-1637.5046081542969,pre_resume
27,ppo_fish_rand20_from_u025_update_000027_policy.pth,21,40,20,10,0.5,-1131.530465698242,pre_resume
28,ppo_fish_rand20_from_u025_update_000028_policy.pth,41,60,20,8,0.4,-1854.4373107910155,pre_resume
29,ppo_fish_rand20_from_u025_update_000029_policy.pth,61,80,20,12,0.6,-2501.774792480469,pre_resume
30,ppo_fish_rand20_from_u025_update_000030_policy.pth,87,100,14,7,0.5,-3022.2227238246373,post_resume
31,ppo_fish_rand20_from_u025_update_000031_policy.pth,101,120,20,10,0.5,-1600.499215698242,post_resume
32,ppo_fish_rand20_from_u025_update_000032_policy.pth,121,140,20,9,0.45,-2701.1269348144533,post_resume
33,ppo_fish_rand20_from_u025_update_000033_policy.pth,141,160,20,14,0.7,-874.6839218139648,post_resume
34,ppo_fish_rand20_from_u025_update_000034_policy.pth,161,180,20,13,0.65,-679.5874948501587,post_resume
35,ppo_fish_rand20_from_u025_update_000035_policy.pth,181,200,20,12,0.6,-1620.721565246582,post_resume
36,ppo_fish_rand20_from_u025_update_000036_policy.pth,201,220,20,14,0.7,-211.00697326660156,post_resume
37,ppo_fish_rand20_from_u025_update_000037_policy.pth,221,240,20,14,0.7,433.22711181640625,post_resume
38,ppo_fish_rand20_from_u025_update_000038_policy.pth,241,260,20,12,0.6,-750.3069398880004,post_resume
39,ppo_fish_rand20_from_u025_update_000039_policy.pth,261,280,20,8,0.4,-3053.2243713378907,post_resume
40,ppo_fish_rand20_from_u025_update_000040_policy.pth,281,300,20,6,0.3,-3139.206335449219,post_resume
41,ppo_fish_rand20_from_u025_update_000041_policy.pth,301,320,20,9,0.45,-3048.349053955078,post_resume
42,ppo_fish_rand20_from_u025_update_000042_policy.pth,321,340,20,11,0.55,-1157.3591094970702,post_resume
43,ppo_fish_rand20_from_u025_update_000043_policy.pth,341,360,20,10,0.5,-2517.575398635864,post_resume
44,ppo_fish_rand20_from_u025_update_000044_policy.pth,361,380,20,7,0.35,-2569.22802734375,post_resume
45,ppo_fish_rand20_from_u025_update_000045_policy.pth,381,400,20,12,0.6,-1445.4559860229492,post_resume
46,ppo_fish_rand20_from_u025_update_000046_policy.pth,401,420,20,14,0.7,-805.0603874206543,post_resume
47,ppo_fish_rand20_from_u025_update_000047_policy.pth,421,440,20,5,0.25,-4823.14331665039,post_resume
