run_id,update_index,num_timesteps,episodes_in_cycle,episodes_completed_total,success_count,success_rate,mean_episode_reward,mean_episode_length,cycle_train_time_sec,model_path,policy_weights_path
20260417_133410_p31872,1,120752,100,100,0,0.0,-5324.514760131836,1207.52,1560.3830249,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000001.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000001_policy.pth
20260417_133410_p31872,2,240786,100,200,0,0.0,-4945.963296508789,1200.34,1532.1024446,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000002.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000002_policy.pth
20260417_133410_p31872,3,363571,100,300,0,0.0,-5033.391257324219,1227.85,1550.2886584000003,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000003.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000003_policy.pth
20260417_133410_p31872,4,482922,100,400,0,0.0,-5009.273703613281,1193.51,1493.2599863999994,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000004.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000004_policy.pth
20260417_133410_p31872,5,604690,100,500,0,0.0,-5193.228580322266,1217.68,1502.3417174000006,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000005.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000005_policy.pth
20260417_133410_p31872,6,725875,100,600,0,0.0,-5084.652670288086,1211.85,1494.6697082,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000006.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000006_policy.pth
20260417_133410_p31872,7,851842,100,700,0,0.0,-5449.523118896484,1259.67,1555.7127199000006,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000007.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000007_policy.pth
20260417_133410_p31872,8,975647,100,800,0,0.0,-5424.472567138672,1238.05,1574.9663824,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000008.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000008_policy.pth
20260417_133410_p31872,9,1099924,100,900,0,0.0,-5331.501865234375,1242.77,1594.6840536,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000009.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000009_policy.pth
20260417_133410_p31872,10,1233850,100,1000,0,0.0,-5641.149056396484,1339.26,1655.2158239,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000010.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000010_policy.pth
20260417_133410_p31872,11,1367146,100,1100,0,0.0,-5592.488947753906,1332.96,1631.9133722999977,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000011.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000011_policy.pth
20260417_133410_p31872,12,1504063,100,1200,0,0.0,-5809.194588623047,1369.17,1714.0429535000003,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000012.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000012_policy.pth
20260417_133410_p31872,13,1642823,100,1300,0,0.0,-6215.57849609375,1387.6,1710.8534925000022,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000013.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000013_policy.pth
20260417_133410_p31872,14,1788441,100,1400,0,0.0,-6359.029801025391,1456.18,1793.3996004,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000014.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000014_policy.pth
20260417_133410_p31872,15,1933013,100,1500,0,0.0,-6313.29953125,1445.72,1796.0180959999998,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000015.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000015_policy.pth
20260417_133410_p31872,16,2089019,100,1600,0,0.0,-6612.165269775391,1560.06,2059.3791636999995,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000016.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000016_policy.pth
20260417_133410_p31872,17,2243227,100,1700,0,0.0,-6751.638804931641,1542.08,1941.6052311999993,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000017.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000017_policy.pth
20260417_133410_p31872,18,2400539,100,1800,0,0.0,-6730.2058068847655,1573.12,1919.2307707,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000018.zip,runs/sac_lora_fish_baseline/scenario_cycle/checkpoints/sac_lora_fish_baseline_update_000018_policy.pth
