#{"t_start": 1776444876.3898122, "env_id": "None"}
r,l,t
-9167.5205,2274,28.508658
1057.4294,2080,54.526497
-3324.0276,2039,77.363589
3173.2424,1824,99.801611
1743.4044,1927,123.475869
-10726.882,2119,149.749224
4888.308,1880,172.71221
4119.4575,1757,193.816309
-2693.684,518,200.082819
913.4829,1926,223.483488
-5422.4336,2104,249.475987
-823.6075,1956,274.17767
-7187.78,1350,290.597618
-4457.178,2014,315.536232
-12202.66,2220,343.148531
-6582.6714,1903,367.022529
2644.3796,1990,392.086573
-8612.201,2253,420.382917
-2069.2085,466,426.242865
-7208.2944,1652,447.053674
-330.69574,1865,470.623115
-4971.6943,2174,497.747183
-7194.013,2057,524.063427
1914.3528,1864,547.612723
-2024.853,611,555.356645
-7624.895,2151,582.879037
-8035.4336,2421,612.737629
-10749.143,1720,634.281584
-13007.937,2182,661.748334
-6950.9136,2086,687.845122
-1778.404,396,692.902752
-2996.9478,2045,719.421176
-2662.0122,1041,732.489487
-14256.844,2256,760.761992
-10850.003,1673,781.712945
-7761.9854,2101,807.95965
599.00183,1888,830.553671
-2354.6384,676,839.318166
-3924.9968,1448,858.986179
-4727.504,1756,881.449246
-2332.0708,434,887.105065
-10577.919,2155,913.953843
-13405.617,2321,942.083246
-3553.6882,1882,964.881824
-6346.5537,1642,984.684537
-5294.64,1501,1002.880787
-5545.754,2129,1028.809077
-9327.794,2050,1054.055939
-2967.0427,921,1066.142515
-8192.858,2120,1093.971265
4182.4497,1788,1116.553024
4511.719,2000,1141.886417
-2538.4666,568,1149.159871
-2535.8088,365,1153.797334
-6601.3257,1775,1176.15028
-9556.975,2220,1204.396933
862.2804,1927,1229.123178
-2445.091,1302,1245.636203
-11141.344,1854,1269.163413
-5157.1084,1787,1292.245358
-4652.5947,2100,1319.03737
-7027.121,2056,1345.062044
4915.276,1871,1369.582825
-10308.178,2076,1395.78786
-5827.685,1895,1419.503582
-8374.697,2333,1450.453506
-9078.222,2054,1478.295596
-12452.042,2439,1510.482106
-2987.164,478,1516.863267
6798.9824,1859,1541.180422
-6458.241,1150,1555.895896
-2073.1934,458,1561.817963
-8989.5625,2198,1590.020177
-3019.3484,1091,1604.156516
-4169.8823,1078,1618.12728
4370.5825,1945,1642.85475
-4868.3,1406,1660.419337
-7396.4214,2187,1687.753289
-6069.6323,2001,1712.445714
-10732.413,2039,1738.038832
-9137.064,2279,1766.839694
-5440.0835,2204,1794.426056
-9161.453,1895,1818.14001
2084.5012,1836,1841.068192
-12626.494,2118,1867.525019
-4330.2686,679,1875.865102
-7848.9966,2238,1903.925246
365.2703,2019,1929.580106
-3419.9163,1212,1945.213777
-2058.6882,653,1953.825053
4474.9077,1887,1978.330177
-4420.1978,651,1986.661634
-5138.152,822,1997.113555
5518.9175,1843,2020.128574
-8077.538,1405,2037.658623
-5807.573,2085,2063.845007
-6411.2266,1977,2089.70682
-12175.543,2405,2120.768183
-6660.0522,2229,2149.721071
-5334.4043,694,2158.670601
